ein,name,total_fees,num_clients
591031071,CIGNA HEALTH AND LIFE INSURANCE COM,112435.0,3
591086117,"FIS BUSINESS SYSTEMS, LLC",24375.0,1
591237041,RAYMOND JAMES & ASSOCIATES INC,4981.0,1
592265857,"EJ REYNOLDS, INC.",1976.0,1
592742314,BERKOWITZ POLLACK BRANT ADVISORS,52416.0,4
592749576,SLAVIC MUTUAL FUND MANAGEMENT CORP,46808.0,1
592937883,RAYMOND JAMES FINANCIAL SERVICES,18433.0,1
592937883,RAYMOND JAMES FSA INC,29818.0,1
593171014,EAGLEASSET,0.0,1
593554482,WAKELY CONSULTING GROUP,16565.0,1
593676225,"MARINER INSTITUTIONAL, LLC",10000.0,1
610246800,KENTUCKY MEDICAL ASSOCIATION,50069.0,1
61053228,USI CONSULTING GROUP,131367.0,2
610600467,AL TORSTRICK INSURANCE AGENCY,59443.0,1
610607472,"CHAS M MOORE INSURANCE AGENCY, INC.",41983.0,1
610736136,MERCER INVESTMENT CONSULTING,202513.0,1
611013183,"HUMANA HEALTH PLAN, INC.",141184.0,1
611607607,LT TRUST COMPANY,6999.0,1
611740806,MARINER RETIREMENT ADVISORS,0.0,1
611758632,"PENSIONMARK FINANCIAL GROUP, LLC",22128.0,2
61194217,FIDELITY & RESEARCH COMPANY,0.0,1
61227840,VISION SERVICE PLAN,18766.0,1
61397347,"USI ADVISORS, INC.",27462.0,1
61593514,WEX HEALTH INC.,23160.0,1
620951563,AMERICAN TRUST COMPANY,124181.0,4
621291257,THE TRUST COMPANY OF TENNESSEE,27760.0,1
621874769,"ADMIN. GROUP, LLC DBA TAG RESOURCES",6740.0,2
630103830,BLUE CROSS AND BLUE SHIELD OF AL,10701.0,1
630103830,BLUE CROSS BLUE SHIELD OF ALABAMA,244851.0,1
630589368,REGIONS,19480.0,1
640831650,FINANCIAL CONCEPTS,6613.0,1
640936231,DYATECH LLC,2468.0,3
650608221,SLAVIC INTEGRATED ADMINISTRATION,280671.0,5
66033492,AETNA LIFE INSURANCE COMPANY,32245.0,1
66033492,AETNA-PPO,21116.0,1
660561870,BANCO POPULAR DE PUERTO RICO,1556.0,1
680211255,ALERUS,7250.0,1
710226428,BLUE ADVANTAGE ADMINISTRATORS OF AR,364093.0,1
710294708,VOYA LIFE INSURANCE & ANNUITY CO.,0.0,1
710294708,VOYA RETIREMENT INSURANCE,567.0,1
710294708,VOYA RETIREMENT INSURANCE & ANNUIT,0.0,1
710294708,VOYA RETIREMENT INSURANCE & ANNUITY,253250.0,7
710294708,VOYA RETIREMENT INSURANCE & ANNUNIT,1917.0,1
710764688,RELYANCE BANK,35787.0,1
711039549,"JANET A. PANEBIANCO, CPA, PLLC",11798.0,1
721273520,BEAM WEALTH ADVISORS,0.0,1
730384245,OSMA,101761.0,1
730781676,MCAFEE & TAFT,22769.0,1
731399273,ACCESS FINANCIAL RESOURCES,10772.0,1
741625348,AIG RETIREMENT SERVICES,0.0,1
742305238,"BOON CHAPMAN, LTD",44463.0,1
742715820,JULY BUSINESS SERVICES,27212.0,1
742794194,KESTRA INVESTMENT SERVICES LLC,0.0,1
742798841,SAGE ASSET MGMT,33403.0,1
743193386,CORNERSTONE ADVISORY LLP,14380.0,1
750786316,WEAVER AND TIDWELL LLP,42000.0,1
750786316,"WEAVER AND TIDWELL, LLP",21000.0,1
752355889,"IMS MARKETING, INC.",29842.0,1
752355889,INSURANCE MANAGEMENT SERVICES,834115.0,5
752401150,AMERICAN BEACON FUNDS,0.0,1
753014089,BROWN ADVISORY LLC,43664.0,1
753182674,BROADRIDGE,76067.0,1
753182674,MATRIX TRUST COMPANY,17264.0,1
753182674,MATRIX TRUST COMPANY LLC,11885.0,1
760342548,ALLIANCE BENEFIT GROUP,3390.0,1
760560371,RILEY AND COMPANY PLLC,18000.0,1
760663719,BALDWIN GROUP,28281.0,1
770155091,HICKS PENSION SERVICES,14700.0,1
811938789,INNOVU,4653.0,4
811939215,"COMPASS 360, LLC",9702.0,2
813062212,VESTWELL HOLDINGS INC.,46596.0,1
813968784,CBIZ BENEFITS & INSURANCE SERVICES,6000.0,1
813989034,M2B RETIREMENT CONSUL LLC,9005.0,1
814017137,STATE STREET GLOBAL ADVISORS,6075.0,1
814888426,PACE UNDERWRITERS,337241.0,1
815191759,FOUNDATION RISK PARTNERS,57105.0,1
820557866,"NFP CORPORATE SERVICES (OK), LLC",31334.0,1
821434504,ONEDIGITAL INVESTMENT ADVISORS LLC,19745.0,1
821589061,OAKSTREET WEALTH MANAGEMENT,8233.0,1
821679944,ESOP FIDUCIARIES,24758.0,1
823329197,GOODWORTH WEALTH MANAGEMENT,7000.0,1
823719843,FUTUREPLAN BY ASCENSUS,0.0,1
823876893,HORTON BENEFITS COMPANY,30555.0,1
824555287,CAPITAL GROUP RETIREMENT PLAN SVCS,31760.0,2
824555287,CAPITAL GROUP RETIREMENT PLAN SVCS.,11329.0,1
824555287,CAPITAL GROUP RETIREMENT SERVICES,875.0,1
824555287,"RAYMOND JAMES & ASSOCIATES, INC.",17723.0,1
