fund_a,fund_b,shared_managers
205702117,221296609,1
205702117,260610707,1
205702117,260846505,1
205702117,270061167,1
205702117,271883111,1
205702117,300284495,1
205702117,314159950,1
205702117,340778636,1
205702117,352257489,1
205702117,362989662,1
205702117,381067560,1
205702117,421105676,1
205702117,42510895,1
205702117,451273930,1
205702117,452653391,1
205702117,453506561,1
205702117,455240671,1
205702117,462436774,1
205702117,463485489,1
205702117,472150172,1
205702117,520563938,1
205702117,562401998,1
205702117,611145339,1
205702117,680661238,1
205702117,710653502,1
205702117,760475815,1
205702117,813040678,1
205702117,822265990,1
205702117,832783957,1
205702117,842795435,1
205702117,853070386,1
205702117,923046645,1
205702117,942537238,1
205702117,952976080,1
205702117,953077405,1
205989542,132742395,1
205989542,134233377,1
205989542,141881132,1
205989542,161490676,1
205989542,203880413,1
205989542,205702117,1
205989542,208250290,1
205989542,208538333,1
205989542,221296609,1
205989542,260610707,1
205989542,260846505,1
205989542,270061167,1
205989542,271883111,1
205989542,300284495,1
205989542,314159950,1
205989542,340778636,1
205989542,352257489,1
205989542,362989662,1
205989542,381067560,1
205989542,421105676,1
205989542,42510895,1
205989542,451273930,1
205989542,452653391,1
205989542,453506561,1
205989542,455240671,1
205989542,462436774,1
205989542,463485489,1
205989542,472150172,1
205989542,520563938,1
205989542,562401998,1
205989542,611145339,1
205989542,680661238,1
205989542,710653502,1
205989542,760475815,1
205989542,813040678,1
205989542,822265990,1
205989542,832783957,1
205989542,842795435,1
205989542,853070386,1
205989542,923046645,1
205989542,942537238,1
205989542,952976080,1
205989542,953077405,1
20681934,112845313,1
20681934,113521426,1
20681934,132621497,1
20681934,132922204,1
20681934,203160292,1
20681934,20377419,1
20681934,20478308,1
20681934,20482717,1
20681934,208066203,1
20681934,231311874,1
20681934,260071475,1
20681934,264086627,1
20681934,264656792,1
20681934,271521006,1
20681934,320539100,1
20681934,341406066,1
20681934,362762678,1
20681934,421206172,1
20681934,42726691,1
20681934,43481758,1
20681934,440663509,1
20681934,455586030,1
20681934,472817157,1
20681934,473599330,1
20681934,473768464,1
20681934,520482550,1
20681934,521563984,1
20681934,522206266,1
20681934,541145723,1
20681934,550917836,1
20681934,561216391,1
20681934,562537962,1
20681934,581984495,1
20681934,60726489,1
20681934,650367984,1
20681934,650540100,1
20681934,742995593,1
20681934,752372684,1
20681934,752694563,1
20681934,752875180,1
20681934,800324447,1
20681934,813881290,1
20681934,821459401,1
20681934,823563982,1
20681934,831254672,1
20681934,832809084,1
20681934,850106941,1
20681934,850615121,1
20681934,850892816,1
20681934,853324939,1
20681934,872007795,1
20681934,954049363,1
20681934,990113530,1
20681934,991972777,1
20777615,201632876,1
20777615,262893562,1
20777615,452874131,1
20777615,823050051,1
208066203,112845313,1
208066203,113521426,1
208066203,132621497,1
208066203,132922204,1
208066203,203160292,1
208066203,20377419,1
208066203,20478308,1
208066203,20482717,1
208066203,20681934,1
208066203,231311874,1
208066203,260071475,1
208066203,264086627,1
208066203,264656792,1
208066203,271521006,1
208066203,320539100,1
208066203,341406066,1
208066203,362762678,1
208066203,421206172,1
208066203,42726691,1
208066203,43481758,1
208066203,440663509,1
208066203,455586030,1
208066203,472817157,1
208066203,473599330,1
208066203,473768464,1
208066203,520482550,1
208066203,521563984,1
208066203,522206266,1
208066203,541145723,1
208066203,550917836,1
208066203,561216391,1
208066203,562537962,1
208066203,581984495,1
208066203,60726489,1
208066203,650367984,1
208066203,650540100,1
208066203,742995593,1
208066203,752372684,1
208066203,752694563,1
208066203,752875180,1
208066203,800324447,1
208066203,813881290,1
208066203,821459401,1
208066203,823563982,1
208066203,831254672,1
208066203,832809084,1
208066203,850106941,1
208066203,850615121,1
208066203,850892816,1
208066203,853324939,1
208066203,872007795,1
208066203,954049363,1
208066203,990113530,1
208066203,991972777,1
208175031,112593090,1
208175031,20329382,2
208175031,232351964,1
208175031,232453088,1
208175031,330326013,1
208175031,390362010,1
208175031,541108079,1
208175031,660588600,1
208175031,823615975,1
208175031,854270873,1
208175031,931049977,1
208175031,943270968,1
208250290,132742395,1
208250290,134233377,1
208250290,141881132,1
208250290,161490676,1
208250290,203880413,1
208250290,205702117,1
208250290,205989542,1
208250290,208538333,1
208250290,221296609,1
208250290,260610707,1
208250290,260846505,1
208250290,270061167,1
208250290,271883111,1
208250290,300284495,1
208250290,314159950,1
208250290,340778636,1
208250290,352257489,1
208250290,362989662,1
208250290,381067560,1
208250290,421105676,1
208250290,42510895,1
208250290,451273930,1
208250290,452653391,1
208250290,453506561,1
208250290,455240671,1
208250290,462436774,1
208250290,463485489,1
208250290,472150172,1
208250290,520563938,1
208250290,562401998,1
208250290,611145339,1
208250290,680661238,1
208250290,710653502,1
208250290,760475815,1
208250290,813040678,1
208250290,822265990,1
208250290,832783957,1
208250290,842795435,1
208250290,853070386,1
208250290,923046645,1
208250290,942537238,1
208250290,952976080,1
208250290,953077405,1
208538333,132742395,1
208538333,134233377,1
208538333,141881132,2
208538333,161490676,1
208538333,203880413,1
208538333,205702117,1
208538333,205989542,1
208538333,208250290,1
208538333,221296609,1
208538333,260610707,1
208538333,260846505,2
208538333,270061167,1
208538333,271883111,1
208538333,300284495,2
208538333,314159950,1
208538333,340778636,1
208538333,352257489,1
208538333,362989662,1
208538333,381067560,1
208538333,421105676,2
208538333,42510895,1
208538333,451273930,2
208538333,452653391,1
208538333,453506561,1
208538333,455240671,1
208538333,462436774,1
208538333,463485489,1
208538333,472150172,1
208538333,520563938,1
208538333,562401998,1
208538333,611145339,2
208538333,680661238,1
208538333,710653502,2
208538333,760475815,1
208538333,813040678,1
208538333,822265990,2
208538333,832783957,1
208538333,842795435,1
208538333,853070386,1
208538333,923046645,2
208538333,942537238,1
208538333,952976080,1
208538333,953077405,2
208758429,161535313,1
208758429,223337602,1
208758429,264773205,1
208758429,264833015,1
208758429,30415090,1
208758429,311581466,1
208758429,320464445,1
208758429,351597954,1
208758429,411892770,1
208758429,460406130,1
208758429,463235190,1
208758429,465174246,1
208758429,472402229,1
