fund_ein,manager_ein,manager_name,fee_paid
473372642,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,24358.0
731602134,430345811,EDWARD JONES,22765.0
731602134,133036745,"ADP, INC.",7804.0
731602134,430345811,EDWARD JONES,38737.0
731602134,133036745,"ADP, INC.",8190.0
314159950,420127290,PRINCIPAL LIFE INSURANCE COMPANY,36737.0
314159950,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
731602134,430345811,EDWARD JONES,40960.0
731602134,133036745,"ADP, INC.",9280.0
640522665,640831650,FINANCIAL CONCEPTS,6613.0
640522665,824555287,CAPITAL GROUP RETIREMENT SERVICES,875.0
205702117,420127290,PRINCIPAL LIFE INSURANCE COMPANY,29034.0
132621497,42647786,FIDELITY INVESTMENTS,920.0
581984495,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,6491.0
581984495,582161308,"MCGRIFF, SEIBELS & WILLIAMS",1703.0
231695529,231315351,"BENECON GROUP, LLC",35021.0
231695529,510467698,BSI CORPORATE BENEFITS,24534.0
231695529,43705970,HY HOLDINGS INC,3129.0
231695529,811938789,INNOVU,1845.0
231695529,230455154,CAPITAL BLUECROSS,-13020.0
920864736,455492167,CAPITAL ADVANTAGE ASSURANCE COMPANY,-282196.0
841113245,591031071,CIGNA,21387.0
455240671,420127290,PRINCIPAL LIFE INSURANCE COMPANY,86212.0
455240671,230731260,JANNEY MONTGOMERY SCOTT LLC,0.0
232510674,231315351,THE BENECON GROUP,103907.0
232510674,561623293,MCGRIFF INSURANCE SERVICES,33250.0
581250243,561449504,"HEALTHGRAM, INC.",442435.0
581250243,201489174,"TURNER, WOOD & SMITH",190880.0
581250243,591031071,CIGNA HEALTH AND LIFE INSURANCE COM,79413.0
581250243,582131807,HEALTH PARTNERS NETWORK LLC,25882.0
581250243,208981027,CAREOPERATIVE RECEIVABLES- HC,21353.0
581250243,474591265,HEALTHGRAM- TELADOCINC,11000.0
251851827,231315351,"THE BENECON GROUP, LLC",32631.0
251851827,230455154,CAPITAL BLUECROSS,25421.0
251851827,561623293,MCGRIFF INSURANCE SERVICES (FORMERL,13692.0
251851827,861279290,"REVIVEHEALTH, INC.",6344.0
360756300,341479833,SCHWAB RETIREMENT PLAN SERVICES,59150.0
360756300,411533211,COLUMBIA ASSET MANAGEMENT,14215.0
360756300,941687665,BANK OF AMERICA,6810.0
360756300,135674085,MERRILL LYNCH PIERCE FENNER & SMITH,4251.0
43481758,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,19772.0
43481758,364291971,GALLAGHER FIDUCIARY ADVISORS LLC,6427.0
362448028,366064763,FIRST MIDWEST BANK,10865.0
465174246,133036745,"ADP, INC.",914.0
251792083,251784573,PCI INSURANCE AGENCY,11460.0
251792083,230455154,CAPITAL BLUE CROSS,7846.0
251792083,231315351,THE BENECON GROUP,6876.0
251792083,261768616,CONNECTCARE 3,1910.0
251792083,251784573,PCI INSURANCE AGENCY,10872.0
